m,n,p,iterations,#fg,f,,Message,,,,,,
10,10,1,10000,30443,521.6424806845,19.0638421432,STOP:,TOTAL,NUMBER,OF,ITERATIONS,REACHED,10000
20,10,1,10000,30443,521.6424806845,19.0638421432,STOP:,TOTAL,NUMBER,OF,ITERATIONS,REACHED,10000
5,20,1,26,181,952.5523342616,2.16679021498711E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,10,
10,20,1,21,187,952.5395063065,1.98251601801758E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,9,
20,20,1,22,185,952.5402282145,3.27978390638276E-009,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,10,
5,50,1,33,186,2405.1092001266,1.23519242993362E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,24,
10,50,1,38,288,2405.1306733153,1.06781248327804E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,24,
20,50,1,37,221,2405.1054163801,3.07293741650324E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,25,
5,100,1,15,130,4826.1066601788,1.33855325712417E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,49,
10,100,1,15,129,4826.1066352341,1.33855201367439E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,49,
20,100,1,15,129,4826.1066352341,1.33855457828957E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,49,
5,200,1,15,128,9668.0522943829,1.81929168599399E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,99,
10,200,1,15,128,9668.0522930362,1.8192943371731E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,99,
20,200,1,15,112,9667.9345180734,1.18853360807955E-007,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,99,
5,1000,1,23,193,48403.1390323475,5.72382730653659E-009,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,499,
10,1000,1,16,160,48403.3203939957,2.44349889812394E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,499,
20,1000,1,16,160,48403.320394002,2.44356437145388E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,499,
5,5000,1,20,127,242078.712084738,1.25600382379608E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2499,
10,5000,1,56,339,242078.839910433,1.25616227264428E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2499,
20,5000,1,45,249,242078.560631846,7.83923975499642E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,2499,
5,10000,1,18,148,484172.781463252,8.25175997474984E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4998,
10,10000,1,10000,30391,484172.773976854,518.2980842071,STOP:,TOTAL,NUMBER,OF,ITERATIONS,REACHED,10000
20,10000,1,21,101,484172.918293261,1.77070192572764E-008,CONVERGENCE:,ZERO_GRAD_IN_CONV_,HULL,nfree,=,4999,
5,2,1.5,3,3,81,0,ABNORMAL_TERMINATION_IN_LNSRCH,,,,,,
